question,answer
Q: What’s herd behavior in markets?,"A: Following the crowd’s investment decisions, often irrationally."
Q: How can I make more rational financial choices?,"A: Set clear goals, remove emotion, and use data-driven decisions."
Q: What’s FOMO investing?,A: Fear of Missing Out leads to impulsive market entry at high prices.
Q: Why do people chase high returns?,A: Overconfidence and short-term greed often override risk awareness.
Q: What’s mental accounting?,"A: Treating money differently based on source or purpose, even though all money is equal."
Q: How can I control spending triggers?,A: Identify emotional or situational cues and plan alternatives.
Q: What’s anchoring bias?,A: Relying too heavily on the first piece of information when making financial judgments.
Q: What’s green investing?,A: Investing in companies promoting environmental sustainability.
Q: What’s carbon credit trading?,A: Buying or selling credits that allow companies to emit limited carbon.
Q: What’s microfinance?,A: Providing small loans to low-income entrepreneurs in developing regions.
Q: What’s an impact investment?,A: Investments made to generate positive social or environmental impact.
Q: What’s foreign exchange risk?,A: The potential loss from currency value fluctuations.
Q: What’s remittance?,A: Money sent by foreign workers to their home countries.
Q: How does trade deficit affect the economy?,A: Persistent deficits can weaken a country’s currency over time.
Q: What’s a sovereign bond?,A: Debt issued by a national government to raise funds.
Q: What’s hyperinflation?,A: Extremely high inflation that erodes a currency’s value rapidly.
Q: How can global events impact my investments?,"A: Wars, pandemics, and policy shifts influence markets and investor sentiment."
Q: What’s a marginal tax rate?,A: It’s the tax rate applied to your last dollar of income.
Q: What’s a progressive tax system?,A: A system where higher incomes are taxed at higher rates.
Q: What’s a regressive tax?,A: A tax that takes a larger percentage from lower-income earners.
Q: What’s a tax shelter?,A: A legal method of minimizing taxable income through investments or deductions.
Q: How can I avoid underpayment penalties?,A: Adjust your withholding or make estimated payments quarterly.
Q: What’s a capital gains tax?,A: A tax on profits from selling investments like stocks or property.
Q: What’s depreciation for taxes?,A: Deducting a portion of an asset’s cost each year to reflect wear or use.
Q: How are cryptocurrencies taxed?,A: They’re treated as property; profits are subject to capital gains tax.
Q: What’s a tax audit?,A: A review by the IRS or tax authority to verify the accuracy of your return.
Q: What’s double taxation?,A: When income is taxed at both corporate and individual levels.
Q: What’s overconfidence bias?,A: Overestimating your knowledge or ability to predict market movements.
Q: What’s recency bias?,A: Giving too much weight to recent events when making decisions.
Q: What’s the gambler’s fallacy?,A: Believing past events affect future probabilities in random outcomes.
Q: What’s the disposition effect?,A: Selling winners too early and holding onto losers too long.
Q: What’s hindsight bias?,A: Thinking you ‘knew it all along’ after an event occurs.
Q: What’s self-control bias?,A: Failing to act in line with long-term goals due to short-term temptations.
Q: What’s framing in finance?,A: How a choice is presented affects the decision taken.
Q: What’s regret aversion?,"A: Avoiding action to prevent future regret, even when it’s rational."
Q: What’s confirmation bias?,A: Seeking info that supports existing beliefs and ignoring contradictory data.
Q: What’s anchoring in investing?,A: Fixating on an initial price or value when making future decisions.
Q: What’s an IPO?,A: The first sale of a company’s stock to the public.
Q: What’s a limit order?,A: An order to buy or sell a stock at a specific price or better.
Q: What’s a stop-loss order?,A: An order that sells a security once it falls to a certain price to limit losses.
Q: What’s asset allocation?,A: The mix of investments across asset classes to balance risk and reward.
Q: What’s risk tolerance?,A: The degree of variability in returns an investor can handle.
Q: What’s compound interest?,A: Interest calculated on both the initial principal and accumulated interest.
Q: What’s an expense ratio?,A: The annual fee charged by mutual funds or ETFs as a percentage of assets.
Q: What’s a brokerage account?,A: An account used to buy and sell investments.
Q: What’s a margin account?,"A: An account that lets you borrow money to invest, increasing potential risk and return."
Q: What’s short selling?,"A: Borrowing shares to sell them, hoping to buy back later at a lower price."
Q: What’s a side hustle?,A: Extra work done outside your main job to earn additional income.
Q: How can freelancers manage irregular income?,A: Save a percentage of each payment and keep a separate tax fund.
Q: What’s passive income?,"A: Money earned regularly with minimal effort, like rent or dividends."
Q: How can I negotiate a salary raise?,"A: Research market rates, highlight achievements, and time your request strategically."
Q: What’s the gig economy?,A: A labor market of short-term contracts or freelance work.
Q: What’s business credit?,A: A separate credit profile for a company used to access funding.
Q: What’s a business emergency fund?,A: Cash reserves covering at least three months of operating expenses.
Q: What’s cash-flow management?,A: Monitoring income and expenses to ensure liquidity.
Q: What’s a break-even point?,A: The level of sales where total revenue equals total costs.
Q: What’s ROI?,A: Return on Investment — measures profitability relative to cost.
Q: What’s term vs universal life insurance?,A: Term covers a fixed period; universal offers flexible premiums and cash value.
Q: What’s liability insurance?,A: Coverage for legal responsibility if you cause injury or damage.
Q: What’s gap insurance?,A: Covers the difference between a car’s value and loan balance after a total loss.
Q: What’s long-term care insurance?,A: Covers nursing home or in-home care for chronic illnesses.
Q: What’s professional indemnity insurance?,A: Protects professionals against negligence or malpractice claims.
Q: What’s key person insurance?,A: Business insurance covering loss of a crucial employee or owner.
Q: What’s whole-life cash value?,A: The savings portion that grows tax-deferred inside a life insurance policy.
Q: What’s reinsurance?,A: Insurance purchased by insurers to spread large risks.
Q: What’s coinsurance in health plans?,A: The percentage you pay after meeting your deductible.
Q: How can I lower homeowners insurance costs?,"A: Bundle policies, improve security, and raise deductibles."
Q: What’s an emergency ratio?,A: Savings divided by monthly expenses — shows how long you can live off savings.
Q: What’s net income?,A: Income left after taxes and deductions.
Q: What’s gross income?,A: Total earnings before taxes or deductions.
Q: What’s financial independence?,A: Having enough passive income to cover living costs indefinitely.
Q: What’s FIRE?,"A: Financial Independence, Retire Early — a lifestyle focused on high saving and investing."
Q: What’s opportunity cost?,A: The potential benefit lost when choosing one option over another.
Q: What’s inflation?,A: The general rise in prices reducing the purchasing power of money.
Q: What’s deflation?,"A: A decline in prices, often signaling weak demand."
Q: What’s diversification benefit?,A: Reduced portfolio risk from combining uncorrelated assets.
Q: What’s a financial plan?,"A: A roadmap outlining goals, budgets, savings, investments, and insurance needs."
Q: What’s foreign direct investment?,A: Long-term investment in a foreign business by an individual or company.
Q: What’s a sovereign wealth fund?,A: A state-owned fund investing global reserves for national benefit.
Q: What’s the World Bank?,A: An international organization that finances economic development projects.
Q: What’s the IMF?,A: The International Monetary Fund — promotes global financial stability.
Q: What’s the G20?,A: A group of major economies coordinating global policy and trade issues.
Q: What’s fiscal policy?,A: Government spending and taxation used to influence the economy.
Q: What’s monetary policy?,A: Central bank actions controlling money supply and interest rates.
Q: What’s quantitative easing?,A: A central bank buying securities to inject liquidity into the economy.
Q: What’s stagflation?,A: Slow economic growth combined with high inflation.
Q: What’s GDP?,A: Gross Domestic Product — the total value of goods and services produced in a country.
Q: What’s socially responsible investing?,A: Investing that aligns with ethical and social values.
Q: What’s ESG investing?,"A: Focusing on Environmental, Social, and Governance metrics in portfolios."
Q: What’s a green bond?,A: A bond issued to fund environmentally friendly projects.
Q: What’s sustainable banking?,A: Financial institutions prioritizing eco-friendly lending and investments.
Q: What’s ethical consumerism?,A: Choosing products and companies based on moral principles.
Q: What’s carbon neutrality?,A: Achieving a balance between emitted and offset carbon.
Q: What’s renewable-energy investing?,"A: Funding solar, wind, or other sustainable energy ventures."
Q: What’s climate risk disclosure?,A: Companies reporting how climate change affects financial performance.
Q: What’s the green premium?,A: The extra cost of choosing sustainable over conventional options.
Q: What’s divestment?,A: Selling investments in industries considered unethical or harmful.
